City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Khatanga,71.9667,102.5,60.08,31,7,13.73,RU,2022-06-29 11:52:38
136,Tautira,-17.7333,-149.15,77.97,79,13,19.35,PF,2022-06-29 11:52:39
137,Kruisfontein,-34.0033,24.7314,76.89,25,9,4.34,ZA,2022-06-29 11:52:39
138,San Vicente,-26.6167,-54.1333,47.46,85,67,3.38,AR,2022-06-29 11:52:39
139,Maceio,-9.6658,-35.7353,72.84,94,100,9.22,BR,2022-06-29 11:52:39
140,Pati,-6.7559,111.038,74.95,75,40,4.68,ID,2022-06-29 11:52:40
141,Am Timan,11.0297,20.2827,84.88,54,98,6.49,TD,2022-06-29 11:52:40
142,Walvis Bay,-22.9575,14.5053,81.46,26,0,17.4,NA,2022-06-29 11:52:40
143,Bilma,18.6853,12.9164,104.97,12,17,3.89,NE,2022-06-29 11:52:41
144,Sisophon,13.5859,102.9737,85.93,65,95,8.9,KH,2022-06-29 11:52:41
145,Provideniya,64.3833,-173.3,44.71,97,99,5.21,RU,2022-06-29 11:52:41
146,Jalu,29.0331,21.5482,96.96,19,0,11.7,LY,2022-06-29 11:52:42
147,Ures,29.4333,-110.4,83.1,59,72,2.28,MX,2022-06-29 11:52:42
148,Grand Gaube,-20.0064,57.6608,73.8,58,64,10.0,MU,2022-06-29 11:52:42
149,Bull Savanna,17.8868,-77.5902,76.69,75,44,5.41,JM,2022-06-29 11:52:43
150,Broken Hill,-31.95,141.4333,49.44,46,96,7.27,AU,2022-06-29 11:52:43
151,Pangnirtung,66.1451,-65.7125,42.8,81,75,0.0,CA,2022-06-29 11:52:44
152,Rapid Valley,44.0625,-103.1463,76.62,43,0,9.22,US,2022-06-29 11:52:44
153,Natitingou,10.3042,1.3796,88.59,51,10,9.01,BJ,2022-06-29 11:52:44
154,Sokoni,-6.4333,39.55,77.85,67,21,12.64,TZ,2022-06-29 11:52:44
155,Tacuarembo,-31.7333,-55.9833,45.19,86,0,4.83,UY,2022-06-29 11:52:00
156,San Cristobal,7.7669,-72.225,66.38,77,95,1.57,VE,2022-06-29 11:52:45
157,Gamboma,-1.8764,15.8644,90.41,29,100,5.93,CG,2022-06-29 11:52:45
158,Avila,40.5833,-5.0,76.64,21,1,4.79,ES,2022-06-29 11:52:46
159,Evansville,37.9748,-87.5558,61.63,86,0,0.0,US,2022-06-29 11:52:46
160,Meleuz,52.9667,55.9167,52.47,75,99,10.49,RU,2022-06-29 11:52:46
161,Narsaq,60.9167,-46.05,41.36,98,100,7.14,GL,2022-06-29 11:52:47
162,Nambucca Heads,-30.65,153.0,56.17,81,99,4.38,AU,2022-06-29 11:52:47
163,Esperance,-33.8667,121.9,56.93,71,86,13.91,AU,2022-06-29 11:52:47
164,Namibe,-15.1961,12.1522,75.83,64,0,11.5,AO,2022-06-29 11:52:47
165,Bathsheba,13.2167,-59.5167,81.21,78,40,21.85,BB,2022-06-29 11:52:48
166,Chuy,-33.6971,-53.4616,45.21,79,20,5.1,UY,2022-06-29 11:52:48
167,Port Elizabeth,-33.918,25.5701,79.11,35,0,4.61,ZA,2022-06-29 11:51:28
168,Sitka,57.0531,-135.33,57.09,82,100,13.8,US,2022-06-29 11:52:48
169,Panaba,21.2833,-88.2667,73.96,94,47,4.56,MX,2022-06-29 11:52:49
170,Kahului,20.8947,-156.47,75.85,76,40,13.8,US,2022-06-29 11:52:49
171,Lata,40.1629,-8.3327,76.5,40,76,10.07,PT,2022-06-29 11:52:49
172,Kalat,29.0225,66.5916,92.71,10,91,15.97,PK,2022-06-29 11:52:50
173,Kljajicevo,45.7704,19.2777,93.13,21,82,13.65,RS,2022-06-29 11:52:50
174,Punta Arenas,-53.15,-70.9167,32.11,93,0,13.8,CL,2022-06-29 11:51:58
